116	9809	7
101	923	8
12	4120	12
259	9248	18
372	9505	7
1981	921	1
102	5983	11
107	897	29
306	7699	9
102	7579	18
364	7155	2
10234	3441	11
104	6234	28
3172	6957	2
1656	2450	12
215	5012	9
14	596	8
28863	547	12
113	5692	8
14	8921	22
30114	39	23
3087	3354	5
118	6229	6
398	7167	0
2344	4053	4
134	6830	4
102	607	6
13407	7098	2
150	810	18
14	3100	20
309	187	4
103	3221	17
101	6772	2
241	289	0
101	5787	5
4536	9353	11
734	8719	27
105	4636	14
1153	2217	1
12	4509	11
106	7490	5
103	2460	19
103	4023	13
12	6070	21
14	1055	13
310	1149	6
14662	2852	12
107	4717	14
14	3902	8
102	3474	29
333	4012	25
118	3280	12
126	8465	5
8922	8883	28
12	7894	6
161	2030	3
180	9690	7
129	3830	4
102	5502	6
111	5876	4
107	6888	1
146	1691	8
32208	1455	24
2245	5271	12
101	5213	17
103	4912	10
101	7833	8
267	306	30
200	4739	10
2362	8065	6
147	8468	5
113	3032	5
108	1988	0
104	9523	15
14	6296	10
1249	4908	22
7	1952	6
112	6207	7
673	5695	5
12	5622	23
1144	1790	1
188	7883	0
7	8672	11
467	669	13
2995	3675	6
213	978	8
14	1631	15
866	8815	8
111	5904	12
24433	7602	6
14	9780	28
115	7543	12
14	2901	20
200	2954	13
113	9501	7
14	3227	22
2144	9147	10
7	1013	35
12260	41	12
102	6834	9
1383	9661	22
14	4927	25
101	5339	7
12	7184	18
109	1007	1
27798	7923	1
1390	1101	10
271	6651	10
108	1283	0
160	1193	13
383	4388	12
3071	8466	20
105	1466	12
105	5112	6
6351	9530	8
109	6124	29
12	6559	6
190	7393	3
730	5521	10
23779	1906	14
1385	1489	10
14181	4268	0
665	11	0
481	3404	13
11537	290	22
148	3197	17
7	9794	19
300	9674	8
7	6831	19
106	8806	1
7110	3100	15
245	8735	35
14	5077	21
1484	4791	4
101	8865	41
410	5512	19
103	6552	9
12	2744	20
487	1296	28
135	3977	0
103	4956	16
101	7218	18
132	4948	15
218	6392	17
103	1596	6
106	7693	23
9558	3564	33
21894	5520	15
10636	427	9
14	158	29
101	4764	3
212	2173	7
106	8353	1
201	37	2
101	9552	6
103	1432	12
471	7671	0
11834	8212	10
103	7989	1
418	5361	12
7765	8870	5
104	7967	29
165	6523	18
28926	2232	11
134	8772	2
561	4472	10
25955	3909	6
2748	2091	12
401	2754	24
101	7165	4
121	3012	11
15038	4533	0
101	4409	29
8	8770	26
1717	9314	13
6318	8153	15
107	1889	2
107	3136	7
107	5869	10
2646	7363	20
122	5479	8
150	9478	5
1092	6922	6
151	1798	28
101	9396	14
123	2954	17
12	3034	10
103	599	26
104	2396	3
124	6179	9
102	8700	5
303	358	13
272	8578	28
107	9390	27
17389	2449	1
172	6465	8
129	7923	10
19215	6513	6
14	2007	29
154	8941	8
125	2551	5
8	7721	12
