652	354	3	11.96
126	2820	3	7.54
108	387	22	7.91
130	278	34	100.26
736	345	3	12.91
209	1066	3	10.81
116	1087	8	10.43
110	5000	3	10.64
101	107	2467	60.96
1844	129	4	9.58
420	212	4	9.37
113	1813	11	43.41
2823	154	3	12.95
646	140	7	14.08
108	523	28	39.61
341	111	28	37.02
420	141	11	23.73
2103	110	5	6.85
112	4474	3	7.69
1956	102	7	7.01
4670	112	3	7.69
102	831	22	25.98
6	142	14	47.49
9	3317	3	6.65
5283	8	3	12.56
4310	105	4	9.2
155	12	154	11.75
1951	198	3	14.27
226	308	10	41
2265	2034	4	47.14
118	1295	8	14.7
429	229	4	11.41
9	3213	3	6.65
134	5269	3	17.53
212	395	5	13.26
139	2545	4	16.09
12	2068	8	8.17
110	135	109	9.51
1113	118	7	8.21
374	975	3	14.76
136	103	298	109.86
2709	105	6	8.82
5107	8	3	12.56
459	1864	3	20.89
446	153	7	12.82
355	301	3	7.64
265	348	3	6.83
136	245	40	137.05
488	344	3	9.78
157	1382	3	7.59
131	1254	15	78.84
1010	245	3	12.13
1952	306	3	18.61
9	2545	6	20.28
422	697	3	13.97
894	109	19	51.57
223	556	5	18.39
1980	126	4	8.94
2626	105	6	8.82
1010	103	15	9.23
62	2655	4	11.81
786	101	21	9.22
122	12	371	21.24
1728	7	8	12.26
106	245	66	55.35
240	273	6	16.59
350	355	3	8.35
136	1364	4	9.34
2852	8	6	25.13
189	149	10	6.66
106	103	1757	43.4
124	3292	3	11.26
4994	105	3	6.9
106	165	93	11.36
5965	57	3	25.55
394	129	10	10.48
367	108	22	6.86
181	214	8	12.51
1144	1947	3	26.63
115	1586	4	7.1
7	1961	7	9.98
966	844	3	19.75
291	117	18	9.06
1169	143	4	9.15
139	1997	3	8.88
114	6383	3	12.57
111	3927	3	7.22
197	1697	3	14.76
114	272	24	21.17
208	1487	3	13
291	230	4	8.07
205	399	5	12.97
816	223	4	15.46
5307	134	3	17.53
142	1813	11	72.25
338	156	6	7.29
119	769	8	7.48
159	1227	4	12.58
170	839	3	7.03
6058	129	3	16.71
112	5450	3	11.9
5675	107	3	6.68
8	347	45	131.35
124	2078	4	9.22
104	278	54	61.52
101	1376	14	9.96
453	256	3	7.76
2852	154	5	29.83
439	127	9	8.35
1586	115	4	7.1
879	117	8	8.03
106	208	71	31.7
459	872	6	40.9
3360	623	5	58.97
157	330	6	7.1
7	3339	4	7.31
58	62	18	26.09
1620	104	9	7.18
201	110	37	11.91
4837	111	3	11.4
536	188	4	9.82
229	117	26	17.6
251	475	3	8.3
7	5362	3	8.84
7	3188	5	9.85
107	1060	13	10.06
105	4228	4	9.2
144	459	6	8.24
104	231	59	27.97
110	5860	3	10.64
1167	1705	9	110.29
133	372	8	7.16
195	342	4	7.46
119	668	15	29.55
280	722	6	31.56
113	885	12	21.36
306	2685	3	21.23
113	961	10	20.08
1372	101	12	8.54
489	119	13	12.84
219	313	6	16.75
123	1242	6	10.99
1922	273	3	17.52
114	285	19	12.41
225	360	4	9.05
4627	12	4	6.65
1886	109	8	19.32
62	566	10	11.13
367	151	6	8.02
1922	126	6	17.96
115	1603	7	20.21
148	155	21	12.16
102	3364	5	8.52
255	120	17	9.8
114	112	200	6.91
1528	1111	3	24.43
816	139	7	16.96
2823	8	4	9.64
142	885	10	37.43
101	149	232	9.36
116	866	9	9.55
103	2694	7	11.21
142	961	8	30.91
103	2814	6	9.61
106	3902	4	8.26
244	1247	4	20.72
110	2989	4	7.29
152	668	5	10.07
159	410	5	7.65
202	584	4	12
123	549	16	37.49
220	120	20	8.31
208	12	77	24.78
851	139	5	10.06
197	1077	5	23.8
461	408	3	10.71
109	2163	5	6.96
110	219	28	6.73
142	2232	3	9.44
2	1101	4	7.2
173	1087	3	8.62
110	2	112	20.98
163	107	121	50.02
143	1941	3	9.84
146	787	4	8.67
309	487	3	10.11
534	207	3	6.81
163	161	12	7.12
514	865	3	16.13
4066	117	3	8.17
2961	122	3	7.96
588	134	14	38.17
115	3018	3	7.46
457	235	3	7.13
111	459	16	13.44
120	221	21	11.47
5014	418	3	32.36
118	1126	7	8.97
1232	171	3	9.57
3795	207	4	36.08
123	2733	4	11.27
897	111	9	8.65
2814	134	6	35.09
5283	154	3	21.09
4198	113	3	7.62
9	3368	4	12.42
6261	108	3	8.3
114	3747	4	12.03
5758	107	3	6.68
345	280	6	22.84
2618	327	3	21.54
319	649	3	12.36
137	1243	4	7.81
117	1867	6	12.44
1207	156	3	6.83
1848	113	8	22.14
103	156	151	10.5
874	171	3	7.85
762	154	9	31.72
1179	111	8	10.82
119	5474	3	13.27
650	62	9	9.81
986	150	4	11.88
6095	108	3	8.3
103	203	72	8.7
179	939	3	8.5
124	2375	3	6.66
1071	269	3	13.38
111	325	29	35.44
2163	272	3	18.27
111	249	27	15.69
12	1809	10	11.08
2135	159	3	11.32
297	1930	3	18.51
3857	9	4	17.18
435	17	4	6.65
105	5367	3	6.9
1717	141	3	7.47
129	2431	3	6.76
847	134	6	11.61
1854	142	10	65.66
108	121	306	45.21
1754	8	7	15.96
1044	106	19	39.3
104	1127	17	33.84
119	1772	5	8.36
968	12	19	31.63
2524	130	6	26.76
4963	142	3	19.64
6137	105	3	6.9
127	1168	7	16.23
130	366	15	23.7
146	2227	3	11.86
1416	128	5	9.93
1031	485	3	16.61
369	142	29	122.11
115	577	12	19.97
129	838	8	16.08
111	5121	3	11.4
2177	12	7	6.76
1600	179	4	18.16
115	510	14	23.9
4266	105	4	9.2
123	294	13	9.08
7	1100	10	8.92
102	2135	8	8.46
292	353	3	7.28
104	366	41	38.22
117	4229	3	8.17
266	424	6	24.1
359	1534	4	25.96
2191	135	3	7.27
266	476	3	8.52
1063	869	4	30.23
586	101	33	12.99
130	1127	6	11.82
1366	130	5	9.97
3166	430	3	24.61
9	1007	7	8.74
62	261	15	8.08
7	1721	7	9.98
1571	116	6	9.3
662	4746	3	35.16
540	133	6	6.97
577	529	3	13.59
428	8	28	59.21
114	479	33	94.96
694	101	27	19.23
12	2309	7	6.76
2315	106	7	14.46
5230	105	3	6.9
1275	12	12	8.38
977	159	3	6.68
337	1611	6	49.67
3236	107	4	8.91
689	108	18	17.71
1791	140	3	7.13
1376	104	10	6.84
119	2348	4	7.54
350	152	8	12.97
699	651	3	17.15
106	396	29	10.4
119	4266	4	17.7
142	3250	3	13.07
729	253	3	10.55
104	2842	5	9.94
1083	358	3	15.32
163	1257	3	8.17
1501	129	4	7.38
323	159	6	8.26
154	5088	3	21.09
3890	9	3	8.63
138	774	6	12.03
597	124	9	11.42
1072	57	5	21.74
122	470	13	20.46
109	2058	5	6.96
122	394	11	10.85
654	632	4	23.06
404	466	9	54.11
512	4949	3	33.52
145	1459	3	7.28
7	3654	4	11.79
118	230	23	10.29
105	129	262	33.08
3269	113	5	19.71
796	177	3	7.02
1609	136	3	6.72
111	3325	3	7.22
1012	9	11	24.96
151	2105	3	10.24
154	621	5	9.64
105	6387	3	6.9
1224	199	3	11.1
961	154	8	34.66
1013	965	4	31.52
113	127	145	31.23
101	1854	10	7.11
290	115	14	11.67
6289	107	3	6.68
130	1817	4	8.94
104	1044	19	37.83
150	986	4	11.88
154	2524	7	49.3
102	1252	13	10.05
105	2996	6	13.81
107	299	44	30.36
12	453	42	51.42
107	105	1195	49.93
105	3080	5	6.86
122	901	6	8.77
277	8	33	52.61
134	4800	3	17.53
3924	139	4	25.4
2411	120	4	8.4
1226	1938	4	40.39
1909	257	5	36.96
459	231	4	11.94
117	447	18	22.82
149	270	9	13.38
146	1353	4	13.35
184	397	5	11.21
312	216	4	7.71
8	2503	6	19.65
174	185	27	93.29
106	975	14	9.78
1382	118	6	8.16
2374	139	4	14.65
121	101	707	52.13
104	2265	8	15.91
2255	2002	4	49.94
135	105	183	7.65
558	539	3	13.92
3276	123	3	8.85
109	133	250	301.17
123	2405	4	9.91
134	4028	3	17.53
129	2996	3	8.77
363	2113	3	20.1
3186	162	4	23.02
1237	211	5	25.5
2	13	16	16.17
124	2676	3	7.75
4227	109	4	14.29
130	2265	6	23.64
2229	130	4	14.2
8	5306	3	12.56
110	980	9	8.49
325	362	3	8.08
8	5238	3	12.56
129	276	11	7.32
314	598	7	39.37
2253	4027	3	40.61
340	286	13	69.87
176	666	5	15.03
340	113	35	65.97
3266	154	5	35.18
3238	113	4	11.06
102	4718	4	6.81
5002	107	3	6.68
125	2742	3	6.74
335	671	3	13.35
177	461	6	15.84
1532	1482	4	38.51
231	407	3	6.94
101	1015	19	13.53
1447	107	9	7.19
249	166	7	10.59
142	127	95	133.82
124	519	9	10.53
116	9	242	56.01
183	124	24	15.61
4929	113	3	11.82
104	1817	8	7.75
5402	107	3	6.68
158	253	9	14.09
135	2790	3	8.96
447	371	5	22.34
12	3761	5	8.32
7	6346	3	8.84
129	532	7	7.87
105	1216	11	10.96
2664	811	3	28.28
109	2751	6	16.06
1306	823	3	21.62
584	122	11	20.06
5104	107	3	6.68
626	195	3	7.48
148	1933	3	8.95
3927	104	4	7.95
136	2550	3	9.7
287	223	13	57.17
930	507	3	17.25
130	789	6	7.87
142	588	14	47.49
112	3110	4	8.82
352	1822	3	19.24
482	131	21	65.07
2429	2	3	9.56
183	477	6	18.05
259	127	14	11.5
1838	136	5	18.12
2142	124	4	9.22
1730	125	4	7.58
4231	107	4	8.91
1229	134	9	34.98
105	6138	3	6.9
1122	142	6	19.83
835	121	7	8.21
1961	101	10	7.11
1518	155	3	7.85
193	213	7	11.13
1206	157	3	6.81
558	112	11	7.18
2147	250	4	27.7
125	275	12	7.06
105	6018	3	6.9
9	3882	4	17.18
226	715	3	9.43
962	116	10	17.95
2919	123	3	7.43
5474	114	3	12.57
1832	106	8	8.28
146	130	118	326.8
464	170	4	7.6
3339	7	4	7.31
325	114	15	6.63
2	526	6	7.01
112	7	429	57.45
4345	109	4	14.29
603	12	25	14.2
116	2852	4	9.08
104	3239	4	7.95
146	277	19	62.9
125	1470	5	10.06
277	357	4	12.18
105	4913	3	6.9
868	241	3	14.01
145	1636	3	7.28
565	202	3	7.01
2265	142	8	52.49
828	144	5	10.22
122	824	7	10.51
134	5107	3	17.53
412	510	4	17.71
85	172	7	8.72
117	329	15	7.05
479	359	3	10.04
929	116	8	8.1
2950	123	3	7.43
1073	142	9	34.8
200	575	4	12.36
4314	158	3	17.87
469	144	6	8.01
3098	105	5	6.86
322	200	5	12.34
136	2002	3	8.76
256	490	3	8.14
2762	132	3	8.65
294	114	24	24.66
2874	12	5	8.32
509	165	4	7.07
623	107	18	9.3
1636	145	3	7.28
329	62	12	6.71
2267	113	6	18.22
3615	117	4	11.8
551	122	12	20.5
62	974	6	6.87
118	4182	3	8.35
114	691	18	41.74
105	448	26	13.04
966	223	3	10.92
119	166	33	7.55
104	789	21	26.5
4041	113	3	7.62
113	588	15	18.23
1697	197	3	14.76
116	1177	8	12.41
755	136	5	7.58
612	110	12	8.26
316	124	11	7.16
204	152	10	8.13
1797	325	3	17.85
146	3843	4	29.61
136	5307	3	18.91
366	352	4	14.21
104	618	20	10.85
153	265	7	7.09
189	2537	3	17.66
