386	106	5	8.08
115	442	4	12.89
537	118	4	14.93
114	1113	6	36.15
1600	103	4	13.58
123	7	21	5.26
176	119	7	15.2
110	489	5	17.07
1467	102	13	92.2
747	102	11	42.45
212	115	5	9.86
1246	256	3	31.68
101	4027	3	11.8
106	532	3	3.89
2623	102	3	11.95
1190	1367	14	284.05
470	111	6	22.91
323	124	6	27.29
185	115	6	10.69
186	123	3	4.89
133	157	4	6.55
925	748	3	36.64
372	109	7	24.87
171	148	20	133.4
105	650	7	22.58
101	4979	3	16.16
104	3806	3	18.1
101	5131	3	16.16
110	178	11	25.3
156	865	3	21.5
163	104	13	8.17
110	115	29	14.42
457	102	6	9.49
1061	104	5	16.35
130	174	3	5.01
420	109	3	6.52
6350	485	3	50.93
8	1268	3	12.16
104	1445	3	8.98
101	263	17	18.7
118	6117	3	30.03
8	404	4	9.18
238	200	6	44.47
614	112	5	21.35
12	2574	4	17.31
466	106	5	9.52
101	3721	3	9.71
106	152	56	156.27
101	3781	3	9.71
189	104	22	49.56
137	115	9	6.58
5654	113	3	29.41
2542	102	4	18.98
2404	14	3	8.06
1376	107	4	14.98
118	62	53	115.07
481	3684	3	44.2
114	2729	3	19.94
12	1035	16	90.29
104	428	9	23.56
101	1339	5	9.24
101	1159	15	68.78
133	185	12	58.39
101	1235	5	8.6
106	2690	3	14.06
2759	149	3	29.21
2200	123	3	21.59
428	12	5	4.52
968	8	7	37.18
680	106	3	5.05
101	465	7	4.33
101	2754	3	7.16
126	173	5	11.19
722	102	12	47.8
110	484	3	7.2
1123	9	9	57.91
118	1564	3	16.66
675	138	3	17.36
1506	102	8	39.7
5186	14	3	18.15
190	3723	4	53.53
129	136	6	6.79
108	614	3	6.88
108	689	9	43.26
116	14	94	7.72
426	477	5	53.08
302	112	3	6.01
135	106	158	639.07
541	200	4	33.78
101	2297	5	16.77
107	308	7	12.94
114	4190	3	24.95
155	1739	5	50.18
914	103	3	4.88
1752	119	3	17.88
2188	112	8	72.16
149	198	15	101.99
196	117	4	5.74
3289	102	4	23.42
182	1861	3	30.8
724	104	4	8.24
8	762	11	63.59
101	1745	3	4.39
105	595	5	11.87
161	171	6	28.78
273	102	15	35.23
329	117	3	6.7
678	115	3	10.48
114	676	4	16.08
1310	14	3	4.33
57	740	3	23.22
170	2	4	6.02
755	129	4	23
483	104	4	5.3
12	268	7	5.07
512	2268	3	40.96
109	1143	5	26.52
12	137	396	2278.04
5276	8	3	26.9
2215	677	3	41.73
117	342	6	21.59
469	200	3	22.58
487	8	4	10.32
1322	106	3	8.93
603	8	8	35.77
101	2551	3	7.16
110	686	3	9.42
105	1291	4	14.32
242	102	14	25.94
152	233	3	12.56
231	14	11	6.81
254	1218	3	31.6
101	821	10	23.23
1008	125	3	16.84
152	161	5	17.07
101	2536	3	7.16
289	14	11	11.79
179	195	3	14.36
103	930	3	5.12
120	630	3	11.97
723	104	4	8.24
124	118	13	7.68
101	752	10	20.66
2103	674	3	41.73
1045	103	3	5.65
105	1242	4	13.76
139	254	3	11.69
2020	12	3	8.97
104	851	4	9.72
143	208	3	10.37
101	3222	4	16.68
976	14	4	5.78
12	171	19	16.83
4954	3337	3	65.96
2677	9	5	36.79
2182	102	5	23.32
102	1487	5	18.6
117	429	9	44.12
12	542	7	12.94
1928	107	3	11.56
190	102	89	459.71
4341	863	3	50.38
297	307	12	132.39
102	1282	4	11.61
244	640	4	38.17
8	663	16	102.43
326	103	7	9.18
8	815	14	93.23
169	106	28	68.75
101	925	9	21.48
101	1061	4	4.09
538	355	3	28.22
2151	12	3	8.97
647	114	3	10.14
105	1395	5	21.21
109	230	16	65.12
102	573	10	30.5
749	107	3	5.62
4526	113	4	39.21
1564	102	9	50.5
405	125	3	11.08
114	1151	10	75.24
865	104	4	9.72
104	1357	4	13.79
101	553	19	53.63
819	149	3	20.74
156	829	5	40.95
2618	103	4	19.01
110	531	5	18.07
103	101	590	96.63
662	433	3	30.89
12	882	4	6.78
363	12	7	8.01
3593	12	3	13.41
12	934	19	113.59
131	101	180	293.53
105	724	6	18.7
171	62	5	7.77
114	389	18	110.22
1546	111	3	14.64
300	152	3	14.61
8	305	38	255.46
108	1471	3	12.43
133	274	4	16.56
852	9	12	76.74
12	2474	4	15.86
105	937	4	11.51
2604	102	3	11.95
105	1057	12	69.11
101	1579	10	43.34
104	341	6	8.81
3963	4925	3	68.2
133	378	9	57.85
12	731	21	109
607	103	4	5.71
122	157	6	9.72
460	120	3	10.1
131	344	5	24.19
621	1465	12	208.12
106	7	179	162.06
3851	3076	3	59.88
102	764	6	15.63
1484	106	3	9.82
355	109	3	5.63
101	5136	3	16.16
410	170	4	28.5
101	2910	5	21.67
115	17	15	45.34
376	14	9	10.27
2622	14	4	14.94
758	102	6	15.17
8	1177	7	41.06
395	120	3	9.26
208	128	3	6.56
376	121	3	9.45
101	216	79	299.47
3122	141	3	29.32
513	122	3	12.02
110	251	3	3.93
3501	107	4	26.37
122	184	3	4.6
642	145	3	18.4
137	152	11	40.26
106	115	109	133.75
439	14	7	7
106	178	11	11.24
114	317	10	43.82
1144	1902	4	62.62
1032	119	5	29.41
148	172	7	31.63
1922	101	5	13.77
601	149	3	18.75
101	1393	4	6.2
104	315	9	18.55
261	123	7	30.68
8	287	43	295.5
272	119	8	31.94
328	7	5	9.2
679	106	4	8.77
160	101	87	175.39
581	102	5	8.5
105	2451	3	13.07
122	482	4	17.55
117	858	7	41.55
104	2874	3	14.38
2386	102	5	25.05
675	14	7	12.05
2772	14	3	8.99
103	124	69	61.66
126	141	6	7.78
2546	107	3	14.1
123	151	6	9.21
123	326	3	9.46
359	118	3	7.35
101	2326	4	11.02
1457	7	4	17.92
163	954	3	23.57
263	165	7	50.15
1950	12	3	8.28
106	1758	4	17.14
199	1946	3	31.99
101	2147	3	5.54
622	101	7	7.59
102	590	5	8.76
101	1059	6	10.44
104	1669	4	15.98
335	636	7	80.68
3944	102	3	16.83
1195	14	3	4
304	122	3	9.08
871	107	3	6.49
2122	102	3	10.17
393	104	6	10.29
104	1076	4	11.66
101	1702	4	8.11
613	9	8	36.21
526	129	4	19.94
105	296	39	213.6
101	3549	5	26.94
200	170	4	20.81
107	279	7	11.52
16	146	8	31.51
107	132	58	95.34
822	148	6	50.42
118	820	3	12.23
101	5263	3	16.16
101	3292	5	26.94
271	106	5	5.29
1985	102	7	37.6
734	9	14	89.3
658	104	6	15.83
